Year|Sex|Category|Name|Birthdate|BirthPlace|County|BirthPlaceNow
1954|M|literature|Ernest Miller Hemingway|21 July 1899|Oak Park IL|USA|Oak Park IL, USA
1954|M|medicine|Frederick Chapman Robbins|25-Aug-16|Auburn AL|USA|Auburn AL, USA
1954|M|medicine|John Franklin Enders|10 February 1897|West Hartford CT|USA|West Hartford CT, USA
1954|M|medicine|Thomas Huckle Weller|15-Jun-15|Ann Arbor MI|USA|Ann Arbor MI, USA
1954|NA|peace|Office of the United Nations High Commissioner for Refugees (UNHCR)|1951 in Geneva||Switzerland|, Switzerland
1954|M|physics|Max Born|11 December 1882|Breslau|Germany|Wroclaw, Poland
1954|M|physics|Walther Bothe|8 January 1891|Oranienburg|Germany|Oranienburg, Germany
1955|M|chemistry|Vincent du Vigneaud|18-May-01|Chicago IL|USA|Chicago IL, USA
1955|M|literature|Halldór Kiljan Laxness|23-Apr-02|Reykjavik|Iceland|Reykjavik, Iceland
1955|M|medicine|Axel Hugo Theodor Theorell|6-Jul-03|Linköping|Sweden|Linköping, Sweden
1955|M|physics|Polykarp Kusch|26-Jan-11|Blankenburg|Germany|Blankenburg, Germany
1955|M|physics|Willis Eugene Lamb|12-Jul-13|Los Angeles CA|USA|Los Angeles CA, USA
1956|M|chemistry|Nikolay Nikolaevich Semenov|3 April 1896|Saratov|Russia|Saratov, Russia
1956|M|chemistry|Sir Cyril Norman Hinshelwood|19 May 1897|London|United Kingdom|London, United Kingdom
1956|M|literature|Juan Ramón Jiménez|24 December 1881|Michelena|Venezuela|Michelena, Venezuela
1956|M|medicine|André Frédéric Cournand|24 September 1895|Paris|France|Paris, France
1956|M|medicine|Dickinson W. Richards|30 October 1895|Orange NJ|USA|Orange NJ, USA
1956|M|medicine|Werner Forssmann|29-Aug-04|Berlin|Germany|Berlin, Germany
1956|M|physics|John Bardeen|23-May-08|Madison WI|USA|Madison WI, USA
1956|M|physics|Walter Houser Brattain|10-Feb-02|Amoy|China|Amoy, China
1956|M|physics|William Bradford Shockley|13-Feb-10|London|United Kingdom|London, United Kingdom
1957|M|chemistry|Lord (Alexander R.) Todd|2-Oct-07|Glasgow|Scotland|Glasgow, Scotland
1957|M|literature|Albert Camus|7-Nov-13|Mondovi|Algeria|Mondovi, Algeria
1957|M|medicine|Daniel Bovet|2007/03/23|Neuchâtel|Switzerland|Neuchâtel, Switzerland
1957|M|peace|Lester Bowles Pearson|23 April 1897|Toronto|Canada|Toronto, Canada
1957|M|physics|Chen Ning Yang|22-Sep-22|Hofei Anhwei|China|Hofei Anhwei, China
1957|M|physics|Tsung-Dao (T.D.) Lee|24-Nov-26|Shanghai|China|Shanghai, China
1958|M|chemistry|Frederick Sanger|13-Aug-18|Rendcombe|United Kingdom|Rendcombe, United Kingdom
1958|M|literature|Boris Leonidovich Pasternak|10 February 1890|Moscow|Russia|Moscow, Russia
1958|M|medicine|Edward Lawrie Tatum|14-Dec-09|Boulder CO|USA|Boulder CO, USA
1958|M|medicine|George Wells Beadle|22-Oct-03|Wahoo NE|USA|Wahoo NE, USA
1958|M|medicine|Joshua Lederberg|23-May-25|Montclair NJ|USA|Montclair NJ, USA
1958|M|peace|Georges Pire|10-Feb-10|Dinant|Belgium|Dinant, Belgium
1958|M|physics|Igor Yevgenyevich Tamm|8 July 1895|Vladivostok|Russia|Vladivostok, Russia
1958|M|physics|Il´ja Mikhailovich Frank|1908|St Petersburg|Russia|St Petersburg, Russia
1958|M|physics|Pavel Alekseyevich Cherenkov|28-Jul-04|Novaya Chigla|Russia|Novaya Chigla, Russia
1959|M|chemistry|Jaroslav Heyrovsky|20 December 1890|Prague|Hungarian Empire|Prague, Czech Republic
1959|M|literature|Salvatore Quasimodo|20-Aug-01|Modica|Italy|Modica, Italy
1959|M|medicine|Arthur Kornberg|2018/03/03|Brooklyn NY|USA|Brooklyn NY, USA
1959|M|medicine|Severo Ochoa|24-Sep-05|Luarca|Spain|Luarca, Spain
1959|M|peace|Philip J. Noel-Baker|1 November 1889|London|United Kingdom|London, United Kingdom
1959|M|physics|Emilio Gino Segrč|1-Feb-05|Tivoli|Italy|Tivoli, Italy
1959|M|physics|Owen Chamberlain|10-Jul-20|Birmingham|United Kingdom|Birmingham, United Kingdom
1960|M|chemistry|Willard Frank Libby|17-Dec-08|Grand Valley CO|USA|Grand Valley CO, USA
1960|M|literature|Saint-John Perse|31 May 1887|Saint-Léger-les-Feuilles|Guadeloupe Island|Saint-Léger-les-Feuilles, Guadeloupe Island
1960|M|medicine|Peter Brian Medawar|28-Feb-15|Rio de Janeiro|Brazil|Rio de Janeiro, Brazil
1960|M|medicine|Sir Frank Macfarlane Burnet|3 September 1899|Traralgon|Australia|Traralgon, Australia
1960|M|peace|Albert John Lutuli|0 1898|Bulawayo|Southern Rhodesia|Bulawayo, Zimbabwe
1960|M|physics|Donald Arthur Glaser|21-Sep-26|Cleveland OH|USA|Cleveland OH, USA
1961|M|chemistry|Melvin Calvin|8-Apr-11|St. Paul MN|USA|St. Paul MN, USA
1961|M|literature|Ivo Andric|10 October 1892|Dolac|Bosnia|Dolac, Bosnia
1961|M|medicine|Georg von Békésy|3 June 1899|Budapest|Hungary|Budapest, Hungary
1961|M|peace|Dag Hjalmar Agne Carl Hammarskjöld|29-Jul-05|Jönköping|Sweden|Jönköping, Sweden
1961|M|physics|Robert Hofstadter|5-Feb-15|New York NY|USA|New York NY, USA
1961|M|physics|Rudolf Ludwig Mössbauer|31-Jan-29|Munich|Germany|Munich, Germany
1962|M|chemistry|John Cowdery Kendrew|2017/03/24|Oxford|United Kingdom|Oxford, United Kingdom
1962|M|chemistry|Max Ferdinand Perutz|19-May-14|Vienna|Austria|Vienna, Austria
1962|M|literature|John Steinbeck|27-Feb-02|Salinas CA|USA|Salinas CA, USA
1962|M|medicine|Francis Harry Compton Crick|8-Jun-16|Northampton|United Kingdom|Northampton, United Kingdom
1962|M|medicine|James Dewey Watson|6-Apr-28|Chicago IL|USA|Chicago IL, USA
1962|M|medicine|Maurice Hugh Frederick Wilkins|15-Dec-16|Pongaroa|New Zealand|Pongaroa, New Zealand
1962|M|peace|Linus Carl Pauling|28-Feb-01|Portland OR|USA|Portland OR, USA
1962|M|physics|Lev Davidovich Landau|22-Jan-08|Baku|Russian Empire|Baku, Azerbaijan
1963|M|chemistry|Giulio Natta|26-Feb-03|Imperia|Italy|Imperia, Italy
1963|M|chemistry|Karl Ziegler|26 November 1898|Helsa|Germany|Helsa, Germany
1963|M|literature|Giorgos Seferis|2000/03/13|Smyrna|Ottoman Empire|Izmir, Turkey
1963|M|medicine|Alan Lloyd Hodgkin|5-Feb-14|Banbury|United Kingdom|Banbury, United Kingdom
1963|M|medicine|Andrew Fielding Huxley|22-Nov-17|Hampstead|United Kingdom|Hampstead, United Kingdom
1963|M|medicine|Sir John Carew Eccles|27-Jan-03|Melbourne|Australia|Melbourne, Australia
1963|NA|peace|Comité international de la Croix Rouge (International Committee of the Red Cross)|1863 in Geneva||Switzerland|, Switzerland
1963|NA|peace|Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies)|1919 in Paris||France|France
1963|M|physics|Eugene Paul Wigner|17-Nov-02|Budapest|Austria-Hungary|Budapest, Austria-Hungary
1963|M|physics|J. Hans D. Jensen|25-Jun-07|Hamburg|Germany|Hamburg, Germany
1963|F|physics|Maria Goeppert-Mayer|28-Jun-06|Kattowitz|Germany|Katowice, Poland
1964|F|chemistry|Dorothy Crowfoot Hodgkin|12-May-10|Cairo|Egypt|Cairo, Egypt
1964|M|literature|Jean-Paul Sartre|21-Jun-05|Paris|France|Paris, France
1964|M|medicine|Feodor Lynen|6-Apr-11|Munich|Germany|Munich, Germany
1964|M|medicine|Konrad Bloch|21-Jan-12|Neisse|Germany|Nysa, Poland
1964|M|peace|Martin Luther King Jr.|15-Jan-29|Atlanta GA|USA|Atlanta GA, USA
1964|M|physics|Aleksandr Mikhailovich Prokhorov|11-Jul-16|Atherton|Australia|Atherton, Australia
1964|M|physics|Charles Hard Townes|28-Jul-15|Greenville SC|USA|Greenville SC, USA
1964|M|physics|Nicolay Gennadiyevich Basov|14-Dec-22|Usman Russia|Soviet Union|Usman Russia, Soviet Union
1965|M|chemistry|Robert Burns Woodward|10-Apr-17|Boston MA|USA|Boston MA, USA
1965|M|literature|Mikhail Aleksandrovich Sholokhov|24-Jun-05|Veshenskaya|Russia|Veshenskaya, Russia
1965|M|medicine|André Lwoff|8-May-02|Ainay-le-Château|France|Ainay-le-Château, France
1965|M|medicine|François Jacob|17-Jun-20|Nancy|France|Nancy, France
1965|M|medicine|Jacques Monod|9-Feb-10|Paris|France|Paris, France
1965|NA|peace|United Nations Children's Fund (UNICEF)|1946 in New York|NY|USA|NY, USA
1965|M|physics|Julian Schwinger|12-Feb-18|New York NY|USA|New York NY, USA
1965|M|physics|Richard P. Feynman|11-May-18|New York NY|USA|New York NY, USA
1965|M|physics|Sin-Itiro Tomonaga|2006/03/31|Kyoto|Japan|Kyoto, Japan
1966|M|chemistry|Robert S. Mulliken|7 July 1896|Newburyport MA|USA|Newburyport MA, USA
1966|F|literature|Nelly Sachs|10 December 1891|Berlin|Germany|Berlin, Germany
1966|M|literature|Shmuel Yosef Agnon|17 July 1888|Buczacz|Austria-Hungary|Buchach, Ukraine
1966|M|medicine|Charles Brenton Huggins|22-Sep-01|Halifax|Canada|Halifax, Canada
1966|M|medicine|Peyton Rous|5 October 1879|Baltimore MD|USA|Baltimore MD, USA
1966|M|physics|Alfred Kastler|3-May-02|Guebwiller|Germany|Guebwiller, France
1967|M|chemistry|George Porter|6-Dec-20|Stainforth|United Kingdom|Stainforth, United Kingdom
1967|M|chemistry|Manfred Eigen|9-May-27|Bochum|Germany|Bochum, Germany
1967|M|chemistry|Ronald George Wreyford Norrish|9 November 1897|Cambridge|United Kingdom|Cambridge, United Kingdom
1967|M|literature|Miguel Angel Asturias|19 October 1899|Guatemala City|Guatemala|Guatemala City, Guatemala
1967|M|medicine|George Wald|18-Nov-06|New York NY|USA|New York NY, USA
1967|M|medicine|Haldan Keffer Hartline|22-Dec-03|Bloomsburg PA|USA|Bloomsburg PA, USA
1967|M|medicine|Ragnar Granit|30-Oct-00|Helsinki|Finland|Helsinki, Finland
1967|M|physics|Hans Albrecht Bethe|2-Jul-06|Strassburg|Germany|Strasbourg, France
1968|M|chemistry|Lars Onsager|27-Nov-03|Kristiania|Norway|Oslo, Norway
1968|M|literature|Yasunari Kawabata|11 June 1899|Osaka|Japan|Osaka, Japan
1968|M|medicine|Har Gobind Khorana|9-Jan-22|Raipur|India|Raipur, India
1968|M|medicine|Marshall W. Nirenberg|10-Apr-27|New York NY|USA|New York NY, USA
1968|M|medicine|Robert W. Holley|28-Jan-22|Urbana IL|USA|Urbana IL, USA
1968|M|peace|René Cassin|5 October 1887|Bayonne|France|Bayonne, France
1968|M|physics|Luis Walter Alvarez|13-Jun-11|San Francisco CA|USA|San Francisco CA, USA
1969|M|chemistry|Derek H. R. Barton|8-Sep-18|Gravesend|United Kingdom|Gravesend, United Kingdom
1969|M|chemistry|Odd Hassel|17 May 1897|Kristiania|Norway|Oslo, Norway
1969|M|economics|Jan Tinbergen|12-Apr-03|the Hague|the Netherlands|the Hague, the Netherlands
1969|M|economics|Ragnar Frisch|3 March 1895|Oslo|Norway|Oslo, Norway
1969|M|literature|Samuel Beckett|13-Apr-06|Dublin|Ireland|Dublin, Ireland
1969|M|medicine|Alfred D. Hershey|4-Dec-08|Owosso MI|USA|Owosso MI, USA
1969|M|medicine|Max Delbrück|4-Sep-06|Berlin|Germany|Berlin, Germany
1969|M|medicine|Salvador E. Luria|13-Aug-12|Torino|Italy|Torino, Italy
1969|NA|peace|International Labour Organization (I.L.O.)|1919 in Geneva||Switzerland|, Switzerland
1969|M|physics|Murray Gell-Mann|15-Sep-29|New York NY|USA|New York NY, USA
1970|M|chemistry|Luis F. Leloir|6-Sep-06|Paris|France|Paris, France
1970|M|economics|Paul A. Samuelson|15-May-15|Gary IN|USA|Gary IN, USA
1970|M|literature|Aleksandr Isayevich Solzhenitsyn|11-Dec-18|Kislovodsk|Russia|Kislovodsk, Russia
1970|M|medicine|Julius Axelrod|30-May-12|New York NY|USA|New York NY, USA
1970|M|medicine|Sir Bernard Katz|2011/03/26|Leipzig|Germany|Leipzig, Germany
1970|M|medicine|Ulf von Euler|7-Feb-05|Stockholm|Sweden|Stockholm, Sweden
1970|M|peace|Norman E. Borlaug|2014/03/25|Cresco IA|USA|Cresco IA, USA
1970|M|physics|Hannes Olof Gösta Alfvén|30-May-08|Norrköping|Sweden|Norrköping, Sweden
1970|M|physics|Louis Eugčne Félix Néel|22-Nov-04|Lyon|France|Lyon, France
1971|M|chemistry|Gerhard Herzberg|25-Dec-04|Hamburg|Germany|Hamburg, Germany
1971|M|economics|Simon Kuznets|30-Apr-01|Kharkov|Russian Empire|Kharkiv, Ukraine
1971|M|literature|Pablo Neruda|12-Jul-04|Parral|Chile|Parral, Chile
1971|M|medicine|Earl W. Sutherland, Jr.|19-Nov-15|Burlingame KS|USA|Burlingame KS, USA
1971|M|peace|Willy Brandt|18-Dec-13|Lübeck|Germany|Lübeck, Germany
1971|M|physics|Dennis Gabor|5-Jun-00|Budapest|Hungary|Budapest, Hungary
1972|M|chemistry|Christian B. Anfinsen|2016/03/26|Monessen PA|USA|Monessen PA, USA
1972|M|chemistry|Stanford Moore|4-Sep-13|Chicago IL|USA|Chicago IL, USA
1972|M|chemistry|William H. Stein|25-Jun-11|New York NY|USA|New York NY, USA
1972|M|economics|John R. Hicks|8-Apr-04|Warwick|United Kingdom|Warwick, United Kingdom
1972|M|economics|Kenneth J. Arrow|23-Aug-21|New York NY|USA|New York NY, USA
1972|M|literature|Heinrich Böll|21-Dec-17|Cologne|Germany|Cologne, Germany
1972|M|medicine|Gerald M. Edelman|1-Jul-29|New York NY|USA|New York NY, USA
1972|M|medicine|Rodney R. Porter|8-Oct-17|Newton-le-Willows|United Kingdom|Newton-le-Willows, United Kingdom
1972|M|physics|John Bardeen|23-May-08|Madison WI|USA|Madison WI, USA
1972|M|physics|John Robert Schrieffer|31-May-31|Oak Park IL|USA|Oak Park IL, USA
1972|M|physics|Leon Neil Cooper|28-Feb-30|New York NY|USA|New York NY, USA
1973|M|chemistry|Ernst Otto Fischer|10-Nov-18|Munich|Germany|Munich, Germany
1973|M|chemistry|Geoffrey Wilkinson|14-Jul-21|Todmorden|United Kingdom|Todmorden, United Kingdom
1973|M|economics|Wassily Leontief|5-Aug-06|St. Petersburg|Russia|St. Petersburg, Russia
1973|M|literature|Patrick White|28-May-12|London|United Kingdom|London, United Kingdom
1973|M|medicine|Karl von Frisch|20 November 1886|Vienna|Austria|Vienna, Austria
1973|M|medicine|Konrad Lorenz|7-Nov-03|Vienna|Austria|Vienna, Austria
1973|M|medicine|Nikolaas Tinbergen|15-Apr-07|the Hague|the Netherlands|the Hague, the Netherlands
1973|M|peace|Henry A. Kissinger|27-May-23|Fürth|Germany|Fürth, Germany
1973|M|peace|Le Duc Tho|14-Oct-11|Nam Ha province|Vietnam|Nam Ha province, Vietnam
1973|M|physics|Brian David Josephson|4-Jan-40|Cardiff|United Kingdom|Cardiff, United Kingdom
1973|M|physics|Ivar Giaever|5-Apr-29|Bergen|Norway|Bergen, Norway
1973|M|physics|Leo Esaki|2025/03/12|Osaka|Japan|Osaka, Japan
1974|M|chemistry|Paul J. Flory|19-Jun-10|Sterling IL|USA|Sterling IL, USA
1974|M|economics|Friedrich August von Hayek|8 May 1899|Vienna|Austria|Vienna, Austria
1974|M|economics|Gunnar Myrdal|6 December 1898|Skattungbyn|Sweden|Skattungbyn, Sweden
1974|M|literature|Eyvind Johnson|29-Jul-00|Svartbjörnsbyn|Sweden|Svartbjörnsbyn, Sweden
1974|M|literature|Harry Martinson|6-May-04|Jämshög|Sweden|Jämshög, Sweden
1974|M|medicine|Albert Claude|24 August 1898|Longlier|Belgium|Longlier, Belgium
1974|M|medicine|Christian de Duve|2-Oct-17|Thames Ditton|United Kingdom|Thames Ditton, United Kingdom
1974|M|medicine|George E. Palade|19-Nov-12|Iasi|Romania|Iasi, Romania
1974|M|peace|Eisaku Sato|2001/03/27|Tabuse|Japan|Tabuse, Japan
1974|M|peace|Seán MacBride|26-Jan-04|Paris|France|Paris, France
1974|M|physics|Antony Hewish|11-May-24|Fowey|United Kingdom|Fowey, United Kingdom
1974|M|physics|Sir Martin Ryle|14-Sep-18|Brighton|United Kingdom|Brighton, United Kingdom
1975|M|chemistry|John Warcup Cornforth|7-Sep-17|Sydney|Australia|Sydney, Australia
1975|M|chemistry|Vladimir Prelog|23-Jul-06|Sarajevo|Austria-Hungary|Sarajevo, Bosnia and Herzegovina
1975|M|economics|Leonid Vitaliyevich Kantorovich|19-Jan-12|St. Petersburg|Russian Empire|St. Petersburg, Russian Empire
1975|M|economics|Tjalling C. Koopmans|28-Aug-10|s Graveland|the Netherlands|s Graveland, the Netherlands
1975|M|literature|Eugenio Montale|12 October 1896|Genoa|Italy|Genoa, Italy
1975|M|medicine|David Baltimore|1938/03/07|New York NY|USA|New York NY, USA
1975|M|medicine|Howard Martin Temin|10-Dec-34|Philadelphia PA|USA|Philadelphia PA, USA
1975|M|medicine|Renato Dulbecco|22-Feb-14|Catanzaro|Italy|Catanzaro, Italy
1975|M|peace|Andrei Dmitrievich Sakharov|21-May-21|Moscow|Russia|Moscow, Russia
1975|M|physics|Aage Niels Bohr|19-Jun-22|Copenhagen|Denmark|Copenhagen, Denmark
1975|M|physics|Ben Roy Mottelson|9-Jul-26|Chicago IL|USA|Chicago IL, USA
1975|M|physics|Leo James Rainwater|9-Dec-17|Council ID|USA|Council ID, USA
1976|M|chemistry|William N. Lipscomb|9-Dec-19|Cleveland OH|USA|Cleveland OH, USA
1976|M|economics|Milton Friedman|31-Jul-12|Brooklyn NY|USA|Brooklyn NY, USA
1976|M|literature|Saul Bellow|10-Jun-15|Montreal|Canada|Montreal, Canada
1976|M|medicine|Baruch S. Blumberg|28-Jul-25|New York NY|USA|New York NY, USA
1976|M|medicine|D. Carleton Gajdusek|9-Sep-23|Yonkers NY|USA|Yonkers NY, USA
1976|F|peace|Betty Williams|22-May-43|Belfast|Northern Ireland|Belfast, Northern Ireland
1976|F|peace|Mairead Corrigan|27-Jan-44|Belfast|Northern Ireland|Belfast, Northern Ireland
1976|M|physics|Burton Richter|1931/03/22|Brooklyn NY|USA|Brooklyn NY, USA
1976|M|physics|Samuel Chao Chung Ting|27-Jan-36|Ann Arbor MI|USA|Ann Arbor MI, USA
1977|M|chemistry|Ilya Prigogine|25-Jan-17|Moscow|Russia|Moscow, Russia
1977|M|economics|Bertil Ohlin|23 April 1899|Klippan|Sweden|Klippan, Sweden
1977|M|economics|James E. Meade|23-Jun-07|Swanage|United Kingdom|Swanage, United Kingdom
1977|M|literature|Vicente Aleixandre|26 April 1898|Sevilla|Spain|Sevilla, Spain
1977|M|medicine|Andrew V. Schally|30-Nov-26|Wilno|Poland|Vilnius, Lithuania
1977|M|medicine|Roger Guillemin|11-Jan-24|Dijon|France|Dijon, France
1977|F|medicine|Rosalyn Yalow|19-Jul-21|New York NY|USA|New York NY, USA
1977|NA|peace|Amnesty International|1961 in London||United Kingdom|, United Kingdom
1977|M|physics|John Hasbrouck van Vleck|13 March 1899|Middletown CT|USA|Middletown CT, USA
1977|M|physics|Philip Warren Anderson|13-Dec-23|Indianapolis IN|USA|Indianapolis IN, USA
1977|M|physics|Sir Nevill Francis Mott|30-Sep-05|Leeds|United Kingdom|Leeds, United Kingdom
1978|M|chemistry|Peter D. Mitchell|29-Sep-20|Mitcham|United Kingdom|Mitcham, United Kingdom
1978|M|economics|Herbert A. Simon|15-Jun-16|Milwaukee WI|USA|Milwaukee WI, USA
1978|M|literature|Isaac Bashevis Singer|14-Jul-04|Leoncin|Russian Empire|Leoncin, Poland
1978|M|medicine|Daniel Nathans|30-Oct-28|Wilmington DE|USA|Wilmington DE, USA
1978|M|medicine|Hamilton O. Smith|23-Aug-31|New York NY|USA|New York NY, USA
1978|M|medicine|Werner Arber|3-Jun-29|Gränichen|Switzerland|Gränichen, Switzerland
1978|M|peace|Menachem Begin|16-Aug-13|Brest Litovsk|Russian Empire|Brest Litovsk, Belarus
1978|M|peace|Mohamed Anwar al-Sadat|25-Dec-18|Mit Abu al-Kawm|Egypt|Mit Abu al-Kawm, Egypt
1978|M|physics|Arno Allan Penzias|26-Apr-33|Munich|Germany|Munich, Germany
1978|M|physics|Pyotr Leonidovich Kapitsa|9 July 1894|Kronshtadt|Russian Empire|Kronshtadt, Russian Empire
1978|M|physics|Robert Woodrow Wilson|10-Jan-36|Houston TX|USA|Houston TX, USA
1979|M|chemistry|Georg Wittig|16 June 1897|Berlin|Germany|Berlin, Germany
1979|M|chemistry|Herbert C. Brown|22-May-12|London|United Kingdom|London, United Kingdom
1979|M|economics|Sir Arthur Lewis|23-Jan-15|Castries|British West Indies|Castries, Saint Lucia
1979|M|economics|Theodore W. Schultz|30-Apr-02|Arlington SD|USA|Arlington SD, USA
1979|M|literature|Odysseus Elytis|2-Nov-11|Iráklion|Crete|Iráklion, Greece
1979|M|medicine|Allan M. Cormack|23-Feb-24|Johannesburg|South Africa|Johannesburg, South Africa
1979|M|medicine|Godfrey N. Hounsfield|28-Aug-19|Newark|United Kingdom|Newark, United Kingdom
1979|F|peace|Mother Teresa|26-Aug-10|Uskup|Ottoman Empire|Skopje, Republic of Macedonia
1979|M|physics|Abdus Salam|29-Jan-26|Jhang |India|Jhang, Pakistan
1979|M|physics|Sheldon Lee Glashow|5-Dec-32|New York NY|USA|New York NY, USA
1979|M|physics|Steven Weinberg|3-May-33|New York NY|USA|New York NY, USA
1980|M|chemistry|Frederick Sanger|13-Aug-18|Rendcombe|United Kingdom|Rendcombe, United Kingdom
1980|M|chemistry|Paul Berg|30-Jun-26|New York NY|USA|New York NY, USA
1980|M|chemistry|Walter Gilbert|1932/03/21|Boston MA|USA|Boston MA, USA
1980|M|economics|Lawrence R. Klein|14-Sep-20|Omaha NE|USA|Omaha NE, USA
1980|M|literature|Czeslaw Milosz|30-Jun-11|Šateiniai|Russian Empire|Šateiniai, Lithuania
1980|M|medicine|Baruj Benacerraf|29-Oct-20|Caracas|Venezuela|Caracas, Venezuela
1980|M|medicine|George D. Snell|19-Dec-03|Bradford MA|USA|Bradford MA, USA
1980|M|medicine|Jean Dausset|19-Oct-16|Toulouse|France|Toulouse, France
1980|M|peace|Adolfo Pérez Esquivel|26-Nov-31|Buenos Aires|Argentina|Buenos Aires, Argentina
1980|M|physics|James Watson Cronin|29-Sep-31|Chicago IL|USA|Chicago IL, USA
1980|M|physics|Val Logsdon Fitch|2023/03/10|Merriman NE|USA|Merriman NE, USA
1981|M|chemistry|Kenichi Fukui|4-Oct-18|Nara|Japan|Nara, Japan
1981|M|chemistry|Roald Hoffmann|18-Jul-37|Zloczov|Poland|Zloczov, Poland
1981|M|economics|James Tobin|2018/03/05|Champaign IL|USA|Champaign IL, USA
1981|M|literature|Elias Canetti|25-Jul-05|Ruse|Bulgaria|Ruse, Bulgaria
1981|M|medicine|David H. Hubel|27-Feb-26|Windsor ON|Canada|Windsor ON, Canada
1981|M|medicine|Roger W. Sperry|20-Aug-13|Hartford CT|USA|Hartford CT, USA
1981|M|medicine|Torsten N. Wiesel|3-Jun-24|Uppsala|Sweden|Uppsala, Sweden
1981|NA|peace|Office of the United Nations High Commissioner for Refugees (UNHCR)|1951 in Geneva||Switzerland|, Switzerland
1981|M|physics|Arthur Leonard Schawlow|5-May-21|Mount Verno NY|USA|Mount Verno NY, USA
1981|M|physics|Kai M. Siegbahn|20-Apr-18|Lund|Sweden|Lund, Sweden
1981|M|physics|Nicolaas Bloembergen|2020/03/11|Dordrecht|the Netherlands|Dordrecht, the Netherlands
1982|M|chemistry|Aaron Klug|11-Aug-26|Zelvas|Lithuania|Zelvas, Lithuania
1982|M|economics|George J. Stigler|17-Jan-11|Renton WA|USA|Renton WA, USA
1982|M|literature|Gabriel García Márquez|2028/03/06|Aracataca|Colombia|Aracataca, Colombia
1982|M|medicine|Bengt I. Samuelsson|21-May-34|Halmstad|Sweden|Halmstad, Sweden
1982|M|medicine|John R. Vane|2027/03/29|Tardebigg|United Kingdom|Tardebigg, United Kingdom
1982|M|medicine|Sune K. Bergström|10-Jan-16|Stockholm|Sweden|Stockholm, Sweden
1982|M|peace|Alfonso García Robles|2011/03/20|Zamora|Mexico|Zamora, Mexico
1982|F|peace|Alva Myrdal|31-Jan-02|Uppsala|Sweden|Uppsala, Sweden
1982|M|physics|Kenneth G. Wilson|8-Jun-36|Waltham MA|USA|Waltham MA, USA
1983|M|chemistry|Henry Taube|30-Nov-15|Neudorf|Canada|Neudorf, Canada
1983|M|economics|Gerard Debreu|4-Jul-21|Calais|France|Calais, France
1983|M|literature|William Golding|19-Sep-11|St. Columb Minor|United Kingdom|St. Columb Minor, United Kingdom
1983|F|medicine|Barbara McClintock|16-Jun-02|Hartford CT|USA|Hartford CT, USA
1983|M|peace|Lech Walesa|29-Sep-43|Popowo|Poland|Popowo, Poland
1983|M|physics|Subramanyan Chandrasekhar|19-Oct-10|Lahore|India|Lahore, Pakistan
1983|M|physics|William Alfred Fowler|9-Aug-11|Pittsburgh PA|USA|Pittsburgh PA, USA
1984|M|chemistry|Robert Bruce Merrifield|15-Jul-21|Fort Worth TX|USA|Fort Worth TX, USA
1984|M|economics|Richard Stone|30-Aug-13|London|United Kingdom|London, United Kingdom
1984|M|literature|Jaroslav Seifert|23-Sep-01|Prague|Austria-Hungary|Prague, Czech Republic
1984|M|medicine|César Milstein|8-Oct-27|Bahia Blanca|Argentina|Bahia Blanca, Argentina
1984|M|medicine|Georges J.F. Köhler|17-Apr-46|Munich|Germany|Munich, Germany
1984|M|medicine|Niels K. Jerne|23-Dec-11|London|United Kingdom|London, United Kingdom
1984|M|peace|Desmond Mpilo Tutu|7-Oct-31|Klerksdorp|South Africa|Klerksdorp, South Africa
1984|M|physics|Carlo Rubbia|1934/03/31|Gorizia|Italy|Gorizia, Italy
1984|M|physics|Simon van der Meer|24-Nov-25|the Hague|the Netherlands|the Hague, the Netherlands
1985|M|chemistry|Herbert A. Hauptman|14-Feb-17|New York NY|USA|New York NY, USA
1985|M|chemistry|Jerome Karle|18-Jun-18|New York NY|USA|New York NY, USA
1985|M|economics|Franco Modigliani|18-Jun-18|Rome|Italy|Rome, Italy
1985|M|literature|Claude Simon|10-Oct-13|Tananarive|Madagascar|Antananarivo, Madagascar
1985|M|medicine|Joseph L. Goldstein|18-Apr-40|Sumter SC|USA|Sumter SC, USA
1985|M|medicine|Michael S. Brown|13-Apr-41|New York NY|USA|New York NY, USA
1985|NA|peace|International Physicians for the Prevention of Nuclear War|1980 in Boston|MA|USA|MA, USA
1985|M|physics|Klaus von Klitzing|28-Jun-43|Schroda|German-occupied Poland|Schroda, German-occupied Poland
1986|M|chemistry|Dudley R. Herschbach|18-Jun-32|San José CA|USA|San José CA, USA
1986|M|chemistry|John C. Polanyi|23-Jan-29|Berlin|Germany|Berlin, Germany
1986|M|chemistry|Yuan T. Lee|19-Nov-36|Hsinchu|Taiwan|Hsinchu, Taiwan
1986|M|economics|James M. Buchanan Jr.|3-Oct-19|Murfreesboro TN|USA|Murfreesboro TN, USA
1986|M|literature|Wole Soyinka|13-Jul-34|Abeokuta|Nigeria|Abeokuta, Nigeria
1986|F|medicine|Rita Levi-Montalcini|22-Apr-09|Turin|Italy|Turin, Italy
1986|M|medicine|Stanley Cohen|17-Nov-22|Brooklyn NY|USA|Brooklyn NY, USA
1986|M|peace|Elie Wiesel|30-Sep-28|Sighet|Romania|Sighet, Romania
