Year|Sex|Category|Name|Birthdate|BirthPlace|County|BirthPlaceNow|Coords
1946|M|chemistry|Wendell Meredith Stanley|16-Aug-04|Ridgeville IN|USA|Ridgeville IN, USA|40.2892107,-85.028857
1946|M|literature|Hermann Hesse|2 July 1877|Calw|Germany|Calw, Germany|48.7122107,8.7472439
1946|M|medicine|Hermann Joseph Muller|1890|New York NY|USA|New York NY, USA|48.7122107,8.7472439
1946|F|peace|Emily Greene Balch|8 January 1867|Jamaica Plain MA|USA|Boston MA, USA|48.7122107,8.7472439
1946|M|peace|John Raleigh Mott|25 May 1865|Livingston Manor NY|USA|Livingston Manor NY, USA|41.9003667,-74.8282167
1946|M|physics|Percy Williams Bridgman|21 April 1882|Cambridge MA|USA|Cambridge MA, USA|42.3736158,-71.1097335
1947|M|chemistry|Sir Robert Robinson|13 September 1886|Rufford near Chesterfield|United Kingdom|Rufford near Chesterfield, United Kingdom|53.2286554,-1.4400147
1947|M|literature|André Paul Guillaume Gide|22 November 1869|Paris|France|Paris, France|53.2286554,-1.4400147
1947|M|medicine|Bernardo Alberto Houssay|10 April 1887|Buenos Aires|Argentina|Buenos Aires, Argentina|53.2286554,-1.4400147
1947|M|medicine|Carl Ferdinand Cori|5 December 1896|Prague|Austria-Hungary|Prague, Czech Republic|53.2286554,-1.4400147
1947|F|medicine|Gerty Theresa Cori, née Radnitz|15 August 1896|Prague|Austria-Hungary|Prague, Czech Republic|53.2286554,-1.4400147
1947|NA|peace|American Friends Service Committee (The Quakers)|1917 in Washington|DC|USA|DC, USA|38.929591,-77.0331936
1947|NA|peace|Friends Service Council (The Quakers)|1647 in London||United Kingdom|, United Kingdom|55.378051,-3.435973
1947|M|physics|Sir Edward Victor Appleton|6 September 1892|Bradford|United Kingdom|Bradford, United Kingdom|53.795984,-1.759398
1948|M|chemistry|Arne Wilhelm Kaurin Tiselius|10-Aug-02|Stockholm|Sweden|Stockholm, Sweden|53.795984,-1.759398
1948|M|literature|Thomas Stearns Eliot|26 September 1888|St. Louis MO|USA|St. Louis MO, USA|38.6270025,-90.1994042
1948|M|medicine|Paul Hermann Müller|12 January 1899|Olten|Switzerland|Olten, Switzerland|47.3499624,7.9037034
1948|M|physics|Patrick Maynard Stuart Blackett|18 November 1897|London|United Kingdom|London, United Kingdom|47.3499624,7.9037034
1949|M|chemistry|William Francis Giauque|12 May 1895|Niagara Falls|Canada|Niagara Falls, Canada|43.0895577,-79.0849436
1949|M|literature|William Faulkner|25 September 1897|New Albany MO|USA|New Albany MO, USA|38.2837371,-85.7491581
1949|M|medicine|Antonio Caetano de Abreu Freire Egas Moniz|29 November 1874|Avança|Portugal|Avança, Portugal|40.8068092,-8.5666077
1949|M|medicine|Walter Rudolf Hess|17 March 1881|Frauenfeld|Switzerland|Frauenfeld, Switzerland|40.8068092,-8.5666077
1949|M|peace|Lord (John) Boyd Orr of Brechin|23 September 1880|Kilmaurs|Scotland|Kilmaurs, Scotland|55.639161,-4.527757
1949|M|physics|Hideki Yukawa|23-Jan-07|Tokyo|Japan|Tokyo, Japan|35.6894875,139.6917064
1950|M|chemistry|Kurt Alder|10-Jul-02|Königshütte|Prussia|Chorzów, Poland|50.2974884,18.9545728
1950|M|chemistry|Otto Paul Hermann Diels|23 January 1876|Hamburg|Germany|Hamburg, Germany|50.2974884,18.9545728
1950|M|literature|Earl (Bertrand Arthur William) Russell|18 May 1872|Trelleck|United Kingdom|Trelleck, United Kingdom|51.741594,-2.724085
1950|M|medicine|Edward Calvin Kendall|8 March 1886|South Norwalk CT|USA|South Norwalk CT, USA|41.0937079,-73.4187303
1950|M|medicine|Philip Showalter Hench|28 February 1896|Pittsburgh PA|USA|Pittsburgh PA, USA|40.4406248,-79.9958864
1950|M|medicine|Tadeus Reichstein|20 July 1897|Wloclawek|Poland|Wloclawek, Poland|52.6483303,19.0677357
1950|M|peace|Ralph Bunche|7-Aug-04|Detroit MI|USA|Detroit MI, USA|42.331427,-83.0457538
1950|M|physics|Cecil Frank Powell|5-Dec-03|Tonbridge|United Kingdom|Tonbridge, United Kingdom|51.195043,0.27568
1951|M|chemistry|Edwin Mattison McMillan|18-Sep-07|Redondo Beach CA|USA|Redondo Beach CA, USA|33.8491816,-118.3884078
1951|M|chemistry|Glenn Theodore Seaborg|19-Apr-12|Ishpeming MI|USA|Ishpeming MI, USA|46.4885469,-87.6676358
1951|M|literature|Pär Fabian Lagerkvist|23 May 1891|Växjö|Sweden|Växjö, Sweden|56.8790044,14.8058523
1951|M|medicine|Max Theiler|30 January 1899|Pretoria|South Africa|Pretoria, South Africa|-25.7478676,28.2292712
1951|M|peace|Léon Jouhaux|1 July 1879|Paris|France|Paris, France|-25.7478676,28.2292712
1951|M|physics|Ernest Thomas Sinton Walton|6-Oct-03|Dungarvan|Ireland|Dungarvan, Ireland|52.0936763,-7.6203627
1951|M|physics|Sir John Douglas Cockcroft|27 May 1897|Todmorden|United Kingdom|Todmorden, United Kingdom|53.716344,-2.0987969
1952|M|chemistry|Archer John Porter Martin|2010/03/01|London|United Kingdom|London, United Kingdom|53.716344,-2.0987969
1952|M|chemistry|Richard Laurence Millington Synge|28-Oct-14|Liverpool|United Kingdom|Liverpool, United Kingdom|53.4083714,-2.9915726
1952|M|literature|François Mauriac|11 October 1885|Bordeaux|France|Bordeaux, France|44.837789,-0.57918
1952|M|medicine|Selman Abraham Waksman|22 July 1888|Priluka|Russian Empire|Pryluky, Ukraine|50.5884714,32.3875825
1952|M|peace|Albert Schweitzer|14 January 1875|Kaysersberg|Germany|Kaysersberg, France|48.13889,7.264023
1952|M|physics|Edward Mills Purcell|30-Aug-12|Taylorville IL|USA|Taylorville IL, USA|39.548935,-89.294533
1952|M|physics|Felix Bloch|23-Oct-05|Zurich|Switzerland|Zurich, Switzerland|47.3768866,8.541694
1953|M|chemistry|Hermann Staudinger|23 March 1881|Worms|Germany|Worms, Germany|49.6341372,8.3507182
1953|M|literature|Sir Winston Leonard Spencer Churchill|30 November 1874|Woodstock|United Kingdom|Woodstock, United Kingdom|51.847267,-1.354091
1953|M|medicine|Fritz Albert Lipmann|12 June 1899|Koenigsberg|Germany|Kaliningrad, Russia|51.847267,-1.354091
1953|M|medicine|Hans Adolf Krebs|25-Aug-00|Hildesheim|Germany|Hildesheim, Germany|52.154778,9.9579652
1953|M|peace|George Catlett Marshall|31 December 1880|Uniontown PA|USA|Uniontown PA, USA|39.900076,-79.7164326
1953|M|physics|Frits (Frederik) Zernike|16 July 1888|Amsterdam|the Netherlands|Amsterdam, the Netherlands|39.900076,-79.7164326
1954|M|chemistry|Linus Carl Pauling|28-Feb-01|Portland OR|USA|Portland OR, USA|45.5230622,-122.6764815
1954|M|literature|Ernest Miller Hemingway|21 July 1899|Oak Park IL|USA|Oak Park IL, USA|41.8850317,-87.7845025
1954|M|medicine|Frederick Chapman Robbins|25-Aug-16|Auburn AL|USA|Auburn AL, USA|32.6098566,-85.4807825
1954|M|medicine|John Franklin Enders|10 February 1897|West Hartford CT|USA|West Hartford CT, USA|41.7620842,-72.7420151
1954|M|medicine|Thomas Huckle Weller|15-Jun-15|Ann Arbor MI|USA|Ann Arbor MI, USA|42.2808256,-83.7430378
1954|NA|peace|Office of the United Nations High Commissioner for Refugees (UNHCR)|1951 in Geneva||Switzerland|, Switzerland|42.2808256,-83.7430378
1954|M|physics|Max Born|11 December 1882|Breslau|Germany|Wroclaw, Poland|42.2808256,-83.7430378
1954|M|physics|Walther Bothe|8 January 1891|Oranienburg|Germany|Oranienburg, Germany|52.7537284,13.2366809
1955|M|chemistry|Vincent du Vigneaud|18-May-01|Chicago IL|USA|Chicago IL, USA|41.8781136,-87.6297982
1955|M|literature|Halldór Kiljan Laxness|23-Apr-02|Reykjavik|Iceland|Reykjavik, Iceland|64.1265206,-21.8174392
1955|M|medicine|Axel Hugo Theodor Theorell|6-Jul-03|Linköping|Sweden|Linköping, Sweden|58.410807,15.6213728
1955|M|physics|Polykarp Kusch|26-Jan-11|Blankenburg|Germany|Blankenburg, Germany|51.8164261,10.9773091
1955|M|physics|Willis Eugene Lamb|12-Jul-13|Los Angeles CA|USA|Los Angeles CA, USA|34.0522342,-118.2436849
1956|M|chemistry|Nikolay Nikolaevich Semenov|3 April 1896|Saratov|Russia|Saratov, Russia|51.5923654,45.9608031
1956|M|chemistry|Sir Cyril Norman Hinshelwood|19 May 1897|London|United Kingdom|London, United Kingdom|51.5923654,45.9608031
1956|M|literature|Juan Ramón Jiménez|24 December 1881|Michelena|Venezuela|Michelena, Venezuela|7.9574344,-72.2452617
1956|M|medicine|André Frédéric Cournand|24 September 1895|Paris|France|Paris, France|7.9574344,-72.2452617
1956|M|medicine|Dickinson W. Richards|30 October 1895|Orange NJ|USA|Orange NJ, USA|40.7706187,-74.2326478
1956|M|medicine|Werner Forssmann|29-Aug-04|Berlin|Germany|Berlin, Germany|40.7706187,-74.2326478
1956|M|physics|John Bardeen|23-May-08|Madison WI|USA|Madison WI, USA|43.0730517,-89.4012302
1956|M|physics|Walter Houser Brattain|10-Feb-02|Amoy|China|Amoy, China|24.479833,118.089425
1956|M|physics|William Bradford Shockley|13-Feb-10|London|United Kingdom|London, United Kingdom|24.479833,118.089425
1957|M|chemistry|Lord (Alexander R.) Todd|2-Oct-07|Glasgow|Scotland|Glasgow, Scotland|24.479833,118.089425
1957|M|literature|Albert Camus|7-Nov-13|Mondovi|Algeria|Mondovi, Algeria|36.6923855,7.730807
1957|M|medicine|Daniel Bovet|2007/03/23|Neuchâtel|Switzerland|Neuchâtel, Switzerland|46.9899874,6.9292732
1957|M|peace|Lester Bowles Pearson|23 April 1897|Toronto|Canada|Toronto, Canada|43.653226,-79.3831843
1957|M|physics|Chen Ning Yang|22-Sep-22|Hofei Anhwei|China|Hofei Anhwei, China|31.820591,117.227219
1957|M|physics|Tsung-Dao (T.D.) Lee|24-Nov-26|Shanghai|China|Shanghai, China|31.2303904,121.4737021
1958|M|chemistry|Frederick Sanger|13-Aug-18|Rendcombe|United Kingdom|Rendcombe, United Kingdom|51.798937,-1.964228
1958|M|literature|Boris Leonidovich Pasternak|10 February 1890|Moscow|Russia|Moscow, Russia|51.798937,-1.964228
1958|M|medicine|Edward Lawrie Tatum|14-Dec-09|Boulder CO|USA|Boulder CO, USA|40.0149856,-105.2705456
1958|M|medicine|George Wells Beadle|22-Oct-03|Wahoo NE|USA|Wahoo NE, USA|41.2115023,-96.6212604
1958|M|medicine|Joshua Lederberg|23-May-25|Montclair NJ|USA|Montclair NJ, USA|40.8259007,-74.2090053
1958|M|peace|Georges Pire|10-Feb-10|Dinant|Belgium|Dinant, Belgium|50.260494,4.9127457
1958|M|physics|Igor Yevgenyevich Tamm|8 July 1895|Vladivostok|Russia|Vladivostok, Russia|43.1198091,131.8869243
1958|M|physics|Il´ja Mikhailovich Frank|1908|St Petersburg|Russia|St Petersburg, Russia|59.9342802,30.3350986
1958|M|physics|Pavel Alekseyevich Cherenkov|28-Jul-04|Novaya Chigla|Russia|Novaya Chigla, Russia|51.2221617,40.4794612
1959|M|chemistry|Jaroslav Heyrovsky|20 December 1890|Prague|Hungarian Empire|Prague, Czech Republic|51.2221617,40.4794612
1959|M|literature|Salvatore Quasimodo|20-Aug-01|Modica|Italy|Modica, Italy|36.8588355,14.7608152
1959|M|medicine|Arthur Kornberg|2018/03/03|Brooklyn NY|USA|Brooklyn NY, USA|36.8588355,14.7608152
1959|M|medicine|Severo Ochoa|24-Sep-05|Luarca|Spain|Luarca, Spain|43.5419932,-6.536124
1959|M|peace|Philip J. Noel-Baker|1 November 1889|London|United Kingdom|London, United Kingdom|43.5419932,-6.536124
1959|M|physics|Emilio Gino Segrč|1-Feb-05|Tivoli|Italy|Tivoli, Italy|41.959817,12.8022261
1959|M|physics|Owen Chamberlain|10-Jul-20|Birmingham|United Kingdom|Birmingham, United Kingdom|41.959817,12.8022261
1960|M|chemistry|Willard Frank Libby|17-Dec-08|Grand Valley CO|USA|Grand Valley CO, USA|39.0638705,-108.5506486
1960|M|literature|Saint-John Perse|31 May 1887|Saint-Léger-les-Feuilles|Guadeloupe Island|Saint-Léger-les-Feuilles, Guadeloupe Island|NOK[ZERO_RESULTS]
1960|M|medicine|Peter Brian Medawar|28-Feb-15|Rio de Janeiro|Brazil|Rio de Janeiro, Brazil|-22.9068467,-43.1728965
1960|M|medicine|Sir Frank Macfarlane Burnet|3 September 1899|Traralgon|Australia|Traralgon, Australia|-38.2033531,146.519786
1960|M|peace|Albert John Lutuli|0 1898|Bulawayo|Southern Rhodesia|Bulawayo, Zimbabwe|-20.1325066,28.626479
1960|M|physics|Donald Arthur Glaser|21-Sep-26|Cleveland OH|USA|Cleveland OH, USA|41.49932,-81.6943605
1961|M|chemistry|Melvin Calvin|8-Apr-11|St. Paul MN|USA|St. Paul MN, USA|44.9537029,-93.0899578
1961|M|literature|Ivo Andric|10 October 1892|Dolac|Bosnia|Dolac, Bosnia|44.0860686,17.9900999
1961|M|medicine|Georg von Békésy|3 June 1899|Budapest|Hungary|Budapest, Hungary|44.0860686,17.9900999
1961|M|peace|Dag Hjalmar Agne Carl Hammarskjöld|29-Jul-05|Jönköping|Sweden|Jönköping, Sweden|57.7826137,14.1617876
1961|M|physics|Robert Hofstadter|5-Feb-15|New York NY|USA|New York NY, USA|57.7826137,14.1617876
1961|M|physics|Rudolf Ludwig Mössbauer|31-Jan-29|Munich|Germany|Munich, Germany|57.7826137,14.1617876
1962|M|chemistry|John Cowdery Kendrew|2017/03/24|Oxford|United Kingdom|Oxford, United Kingdom|51.7520209,-1.2577263
1962|M|chemistry|Max Ferdinand Perutz|19-May-14|Vienna|Austria|Vienna, Austria|51.7520209,-1.2577263
1962|M|literature|John Steinbeck|27-Feb-02|Salinas CA|USA|Salinas CA, USA|36.6777372,-121.6555013
1962|M|medicine|Francis Harry Compton Crick|8-Jun-16|Northampton|United Kingdom|Northampton, United Kingdom|52.240477,-0.902656
1962|M|medicine|James Dewey Watson|6-Apr-28|Chicago IL|USA|Chicago IL, USA|52.240477,-0.902656
1962|M|medicine|Maurice Hugh Frederick Wilkins|15-Dec-16|Pongaroa|New Zealand|Pongaroa, New Zealand|-40.5414029,176.194649
1962|M|peace|Linus Carl Pauling|28-Feb-01|Portland OR|USA|Portland OR, USA|-40.5414029,176.194649
1962|M|physics|Lev Davidovich Landau|22-Jan-08|Baku|Russian Empire|Baku, Azerbaijan|40.4092617,49.8670924
1963|M|chemistry|Giulio Natta|26-Feb-03|Imperia|Italy|Imperia, Italy|43.8896857,8.039517
1963|M|chemistry|Karl Ziegler|26 November 1898|Helsa|Germany|Helsa, Germany|51.2573397,9.6863827
1963|M|literature|Giorgos Seferis|2000/03/13|Smyrna|Ottoman Empire|Izmir, Turkey|38.423734,27.142826
1963|M|medicine|Alan Lloyd Hodgkin|5-Feb-14|Banbury|United Kingdom|Banbury, United Kingdom|52.0629009,-1.339775
1963|M|medicine|Andrew Fielding Huxley|22-Nov-17|Hampstead|United Kingdom|Hampstead, United Kingdom|51.5556461,-0.1761749
1963|M|medicine|Sir John Carew Eccles|27-Jan-03|Melbourne|Australia|Melbourne, Australia|-37.8136276,144.9630576
1963|NA|peace|Comité international de la Croix Rouge (International Committee of the Red Cross)|1863 in Geneva||Switzerland|, Switzerland|-37.8136276,144.9630576
1963|NA|peace|Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies)|1919 in Paris||France|France|46.227638,2.213749
1963|M|physics|Eugene Paul Wigner|17-Nov-02|Budapest|Austria-Hungary|Budapest, Austria-Hungary|47.499148,19.0115954
1963|M|physics|J. Hans D. Jensen|25-Jun-07|Hamburg|Germany|Hamburg, Germany|47.499148,19.0115954
1963|F|physics|Maria Goeppert-Mayer|28-Jun-06|Kattowitz|Germany|Katowice, Poland|50.2648919,19.0237815
1964|F|chemistry|Dorothy Crowfoot Hodgkin|12-May-10|Cairo|Egypt|Cairo, Egypt|30.0444196,31.2357116
1964|M|literature|Jean-Paul Sartre|21-Jun-05|Paris|France|Paris, France|30.0444196,31.2357116
1964|M|medicine|Feodor Lynen|6-Apr-11|Munich|Germany|Munich, Germany|30.0444196,31.2357116
1964|M|medicine|Konrad Bloch|21-Jan-12|Neisse|Germany|Nysa, Poland|50.4822855,17.3295861
1964|M|peace|Martin Luther King Jr.|15-Jan-29|Atlanta GA|USA|Atlanta GA, USA|33.7489954,-84.3879824
1964|M|physics|Aleksandr Mikhailovich Prokhorov|11-Jul-16|Atherton|Australia|Atherton, Australia|-17.2660801,145.4858599
1964|M|physics|Charles Hard Townes|28-Jul-15|Greenville SC|USA|Greenville SC, USA|34.8526176,-82.3940104
1964|M|physics|Nicolay Gennadiyevich Basov|14-Dec-22|Usman Russia|Soviet Union|Usman Russia, Soviet Union|52.0407835,39.7406193
1965|M|chemistry|Robert Burns Woodward|10-Apr-17|Boston MA|USA|Boston MA, USA|52.0407835,39.7406193
1965|M|literature|Mikhail Aleksandrovich Sholokhov|24-Jun-05|Veshenskaya|Russia|Veshenskaya, Russia|49.6315639,41.7147171
1965|M|medicine|André Lwoff|8-May-02|Ainay-le-Château|France|Ainay-le-Château, France|46.709714,2.691018
1965|M|medicine|François Jacob|17-Jun-20|Nancy|France|Nancy, France|48.692054,6.184417
1965|M|medicine|Jacques Monod|9-Feb-10|Paris|France|Paris, France|48.692054,6.184417
1965|NA|peace|United Nations Children's Fund (UNICEF)|1946 in New York|NY|USA|NY, USA|40.7127753,-74.0059728
1965|M|physics|Julian Schwinger|12-Feb-18|New York NY|USA|New York NY, USA|40.7127753,-74.0059728
1965|M|physics|Richard P. Feynman|11-May-18|New York NY|USA|New York NY, USA|40.7127753,-74.0059728
1965|M|physics|Sin-Itiro Tomonaga|2006/03/31|Kyoto|Japan|Kyoto, Japan|35.0116363,135.7680294
1966|M|chemistry|Robert S. Mulliken|7 July 1896|Newburyport MA|USA|Newburyport MA, USA|42.8125913,-70.8772751
1966|F|literature|Nelly Sachs|10 December 1891|Berlin|Germany|Berlin, Germany|42.8125913,-70.8772751
1966|M|literature|Shmuel Yosef Agnon|17 July 1888|Buczacz|Austria-Hungary|Buchach, Ukraine|49.064831,25.3817159
1966|M|medicine|Charles Brenton Huggins|22-Sep-01|Halifax|Canada|Halifax, Canada|44.6487635,-63.5752387
1966|M|medicine|Peyton Rous|5 October 1879|Baltimore MD|USA|Baltimore MD, USA|39.2903848,-76.6121893
1966|M|physics|Alfred Kastler|3-May-02|Guebwiller|Germany|Guebwiller, France|47.911586,7.209336
1967|M|chemistry|George Porter|6-Dec-20|Stainforth|United Kingdom|Stainforth, United Kingdom|54.099248,-2.273164
1967|M|chemistry|Manfred Eigen|9-May-27|Bochum|Germany|Bochum, Germany|51.4818445,7.2162363
1967|M|chemistry|Ronald George Wreyford Norrish|9 November 1897|Cambridge|United Kingdom|Cambridge, United Kingdom|51.4818445,7.2162363
1967|M|literature|Miguel Angel Asturias|19 October 1899|Guatemala City|Guatemala|Guatemala City, Guatemala|14.6349149,-90.5068824
1967|M|medicine|George Wald|18-Nov-06|New York NY|USA|New York NY, USA|14.6349149,-90.5068824
1967|M|medicine|Haldan Keffer Hartline|22-Dec-03|Bloomsburg PA|USA|Bloomsburg PA, USA|41.003698,-76.4549457
1967|M|medicine|Ragnar Granit|30-Oct-00|Helsinki|Finland|Helsinki, Finland|41.003698,-76.4549457
1967|M|physics|Hans Albrecht Bethe|2-Jul-06|Strassburg|Germany|Strasbourg, France|48.5734053,7.7521113
1968|M|chemistry|Lars Onsager|27-Nov-03|Kristiania|Norway|Oslo, Norway|48.5734053,7.7521113
1968|M|literature|Yasunari Kawabata|11 June 1899|Osaka|Japan|Osaka, Japan|34.6937378,135.5021651
1968|M|medicine|Har Gobind Khorana|9-Jan-22|Raipur|India|Raipur, India|21.2513844,81.6296413
1968|M|medicine|Marshall W. Nirenberg|10-Apr-27|New York NY|USA|New York NY, USA|21.2513844,81.6296413
1968|M|medicine|Robert W. Holley|28-Jan-22|Urbana IL|USA|Urbana IL, USA|40.1105875,-88.2072697
1968|M|peace|René Cassin|5 October 1887|Bayonne|France|Bayonne, France|43.492949,-1.474841
1968|M|physics|Luis Walter Alvarez|13-Jun-11|San Francisco CA|USA|San Francisco CA, USA|43.492949,-1.474841
1969|M|chemistry|Derek H. R. Barton|8-Sep-18|Gravesend|United Kingdom|Gravesend, United Kingdom|51.441884,0.370759
1969|M|chemistry|Odd Hassel|17 May 1897|Kristiania|Norway|Oslo, Norway|51.441884,0.370759
1969|M|economics|Jan Tinbergen|12-Apr-03|the Hague|the Netherlands|the Hague, the Netherlands|52.0704978,4.3006999
1969|M|economics|Ragnar Frisch|3 March 1895|Oslo|Norway|Oslo, Norway|52.0704978,4.3006999
1969|M|literature|Samuel Beckett|13-Apr-06|Dublin|Ireland|Dublin, Ireland|52.0704978,4.3006999
1969|M|medicine|Alfred D. Hershey|4-Dec-08|Owosso MI|USA|Owosso MI, USA|42.9978049,-84.1766358
1969|M|medicine|Max Delbrück|4-Sep-06|Berlin|Germany|Berlin, Germany|42.9978049,-84.1766358
1969|M|medicine|Salvador E. Luria|13-Aug-12|Torino|Italy|Torino, Italy|45.070312,7.6868565
1969|NA|peace|International Labour Organization (I.L.O.)|1919 in Geneva||Switzerland|, Switzerland|45.070312,7.6868565
1969|M|physics|Murray Gell-Mann|15-Sep-29|New York NY|USA|New York NY, USA|45.070312,7.6868565
1970|M|chemistry|Luis F. Leloir|6-Sep-06|Paris|France|Paris, France|45.070312,7.6868565
1970|M|economics|Paul A. Samuelson|15-May-15|Gary IN|USA|Gary IN, USA|41.5933696,-87.3464271
1970|M|literature|Aleksandr Isayevich Solzhenitsyn|11-Dec-18|Kislovodsk|Russia|Kislovodsk, Russia|43.9056014,42.7280949
1970|M|medicine|Julius Axelrod|30-May-12|New York NY|USA|New York NY, USA|43.9056014,42.7280949
1970|M|medicine|Sir Bernard Katz|2011/03/26|Leipzig|Germany|Leipzig, Germany|51.3396955,12.3730747
1970|M|medicine|Ulf von Euler|7-Feb-05|Stockholm|Sweden|Stockholm, Sweden|51.3396955,12.3730747
1970|M|peace|Norman E. Borlaug|2014/03/25|Cresco IA|USA|Cresco IA, USA|43.3813568,-92.1140547
1970|M|physics|Hannes Olof Gösta Alfvén|30-May-08|Norrköping|Sweden|Norrköping, Sweden|58.587745,16.192421
1970|M|physics|Louis Eugčne Félix Néel|22-Nov-04|Lyon|France|Lyon, France|45.764043,4.835659
1971|M|chemistry|Gerhard Herzberg|25-Dec-04|Hamburg|Germany|Hamburg, Germany|45.764043,4.835659
1971|M|economics|Simon Kuznets|30-Apr-01|Kharkov|Russian Empire|Kharkiv, Ukraine|45.764043,4.835659
1971|M|literature|Pablo Neruda|12-Jul-04|Parral|Chile|Parral, Chile|-36.1406484,-71.8227528
1971|M|medicine|Earl W. Sutherland, Jr.|19-Nov-15|Burlingame KS|USA|Burlingame KS, USA|38.7538946,-95.8349868
1971|M|peace|Willy Brandt|18-Dec-13|Lübeck|Germany|Lübeck, Germany|38.7538946,-95.8349868
1971|M|physics|Dennis Gabor|5-Jun-00|Budapest|Hungary|Budapest, Hungary|38.7538946,-95.8349868
1972|M|chemistry|Christian B. Anfinsen|2016/03/26|Monessen PA|USA|Monessen PA, USA|40.1484053,-79.8878254
1972|M|chemistry|Stanford Moore|4-Sep-13|Chicago IL|USA|Chicago IL, USA|40.1484053,-79.8878254
1972|M|chemistry|William H. Stein|25-Jun-11|New York NY|USA|New York NY, USA|40.1484053,-79.8878254
1972|M|economics|John R. Hicks|8-Apr-04|Warwick|United Kingdom|Warwick, United Kingdom|52.282316,-1.584927
1972|M|economics|Kenneth J. Arrow|23-Aug-21|New York NY|USA|New York NY, USA|52.282316,-1.584927
1972|M|literature|Heinrich Böll|21-Dec-17|Cologne|Germany|Cologne, Germany|52.282316,-1.584927
1972|M|medicine|Gerald M. Edelman|1-Jul-29|New York NY|USA|New York NY, USA|52.282316,-1.584927
1972|M|medicine|Rodney R. Porter|8-Oct-17|Newton-le-Willows|United Kingdom|Newton-le-Willows, United Kingdom|53.452889,-2.63508
1972|M|physics|John Bardeen|23-May-08|Madison WI|USA|Madison WI, USA|53.452889,-2.63508
1972|M|physics|John Robert Schrieffer|31-May-31|Oak Park IL|USA|Oak Park IL, USA|53.452889,-2.63508
1972|M|physics|Leon Neil Cooper|28-Feb-30|New York NY|USA|New York NY, USA|53.452889,-2.63508
1973|M|chemistry|Ernst Otto Fischer|10-Nov-18|Munich|Germany|Munich, Germany|53.452889,-2.63508
1973|M|chemistry|Geoffrey Wilkinson|14-Jul-21|Todmorden|United Kingdom|Todmorden, United Kingdom|53.452889,-2.63508
1973|M|economics|Wassily Leontief|5-Aug-06|St. Petersburg|Russia|St. Petersburg, Russia|59.9342802,30.3350986
1973|M|literature|Patrick White|28-May-12|London|United Kingdom|London, United Kingdom|59.9342802,30.3350986
1973|M|medicine|Karl von Frisch|20 November 1886|Vienna|Austria|Vienna, Austria|59.9342802,30.3350986
1973|M|medicine|Konrad Lorenz|7-Nov-03|Vienna|Austria|Vienna, Austria|59.9342802,30.3350986
1973|M|medicine|Nikolaas Tinbergen|15-Apr-07|the Hague|the Netherlands|the Hague, the Netherlands|59.9342802,30.3350986
1973|M|peace|Henry A. Kissinger|27-May-23|Fürth|Germany|Fürth, Germany|49.4771169,10.988667
1973|M|peace|Le Duc Tho|14-Oct-11|Nam Ha province|Vietnam|Nam Ha province, Vietnam|20.5835196,105.92299
1973|M|physics|Brian David Josephson|4-Jan-40|Cardiff|United Kingdom|Cardiff, United Kingdom|51.481581,-3.17909
1973|M|physics|Ivar Giaever|5-Apr-29|Bergen|Norway|Bergen, Norway|60.3912628,5.3220544
1973|M|physics|Leo Esaki|2025/03/12|Osaka|Japan|Osaka, Japan|60.3912628,5.3220544
1974|M|chemistry|Paul J. Flory|19-Jun-10|Sterling IL|USA|Sterling IL, USA|41.788642,-89.6962194
1974|M|economics|Friedrich August von Hayek|8 May 1899|Vienna|Austria|Vienna, Austria|41.788642,-89.6962194
1974|M|economics|Gunnar Myrdal|6 December 1898|Skattungbyn|Sweden|Skattungbyn, Sweden|61.1866825,14.8531629
1974|M|literature|Eyvind Johnson|29-Jul-00|Svartbjörnsbyn|Sweden|Svartbjörnsbyn, Sweden|NOK[ZERO_RESULTS]
1974|M|literature|Harry Martinson|6-May-04|Jämshög|Sweden|Jämshög, Sweden|56.2403103,14.5308835
1974|M|medicine|Albert Claude|24 August 1898|Longlier|Belgium|Longlier, Belgium|49.85544,5.45288
1974|M|medicine|Christian de Duve|2-Oct-17|Thames Ditton|United Kingdom|Thames Ditton, United Kingdom|51.389686,-0.339189
1974|M|medicine|George E. Palade|19-Nov-12|Iasi|Romania|Iasi, Romania|47.1584549,27.6014418
1974|M|peace|Eisaku Sato|2001/03/27|Tabuse|Japan|Tabuse, Japan|33.9547026,132.0413731
1974|M|peace|Seán MacBride|26-Jan-04|Paris|France|Paris, France|33.9547026,132.0413731
1974|M|physics|Antony Hewish|11-May-24|Fowey|United Kingdom|Fowey, United Kingdom|50.33499,-4.636525
1974|M|physics|Sir Martin Ryle|14-Sep-18|Brighton|United Kingdom|Brighton, United Kingdom|50.82253,-0.137163
1975|M|chemistry|John Warcup Cornforth|7-Sep-17|Sydney|Australia|Sydney, Australia|-33.8688197,151.2092955
1975|M|chemistry|Vladimir Prelog|23-Jul-06|Sarajevo|Austria-Hungary|Sarajevo, Bosnia and Herzegovina|43.8562586,18.4130763
1975|M|economics|Leonid Vitaliyevich Kantorovich|19-Jan-12|St. Petersburg|Russian Empire|St. Petersburg, Russian Empire|59.9358282,30.3206509
1975|M|economics|Tjalling C. Koopmans|28-Aug-10|s Graveland|the Netherlands|s Graveland, the Netherlands|52.2446819,5.1314775
