EventId;InvestigationType;AccidentNumber;EventDate;Location;Country;Latitude;Longitude;AirportCode;AirportName;InjurySeverity;AircraftDamage;AircraftCategory;RegistrationNumber;Make;Model;AmateurBuilt;NumberOfEngines;EngineType;FARDescription;Schedule;PurposeOfFlight;AirCarrier;TotalFatalInjuries;TotalSeriousInjuries;TotalMinorInjuries;TotalUninjured;WeatherCondition;BroadPhaseOfFlight;ReportStatus;PublicationDate
20100414X04022;Incident;DCA10WA052;04/13/2010;Keflavik, Iceland;Iceland;;;BIKF;Keflavik;Incident;;Airplane;N380AN;BOEING;767-323;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;;;;5;140;;;Foreign;09/24/2010
20100416X42046;Incident;ENG10RA023;04/10/2010;Muharraq, Bahrain;Bahrain;;;BAH;Bahrain International Airport;Incident;Minor;Airplane;;AIRBUS;A300;No;2;;Unknown;;;;;;;;;;Foreign;08/24/2010
20100503X82523;Incident;ENG10IA026;04/05/2010;Newark, NJ;United States;;;EWR;Newark International Airport;Incident;Minor;Airplane;N535JB;AIRBUS;A320;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;JetBlue Airways, Inc. (DBA: JetBlue);;;;140;;TAKEOFF;Probable Cause;03/28/2011
20100330X00627;Incident;OPS10IA020B;03/27/2010;San Francisco, CA;United States;;;;;Incident;;Airplane;;CESSNA;182R;No;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;268;;;Probable Cause;12/19/2011
20100330X00627;Incident;OPS10IA020A;03/27/2010;San Francisco, CA;United States;;;;;Incident;;Airplane;;BOEING;777-222;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;;;;;268;;TAKEOFF;Probable Cause;12/19/2011
20100326X90457;Incident;OPS10IA014B;03/25/2010;Worton, MD;United States;39.250000;-76.100000;;;Incident;;Airplane;;GULFSTREAM AEROSPACE;G1159B;No;2;Turbo Jet;Part 91: General Aviation;;Unknown;;;;;;;DESCENT;Probable Cause;08/02/2010
20100326X90457;Incident;OPS10IA014A;03/25/2010;Worton, MD;United States;39.250000;-76.100000;;;Incident;;Airplane;;BOEING;737;;2;;Part 121: Air Carrier;SCHD;;;;;;;;DESCENT;Probable Cause;08/02/2010
20110513X60749;Incident;DCA11WA056;03/24/2010;Moncton, Canada;Canada;;;;;Incident;;Airplane;;BOEING;727 - 200F;No;;;Non-U.S., Commercial;SCHD;;;;;;3;;LANDING;Foreign;
20100323X42745;Incident;DCA10WA042;03/23/2010;;Hungary;;;;;Incident;;Airplane;N612FE;MCDONNELL DOUGLAS;MD-11F;No;3;Turbo Fan;Part 121: Air Carrier;NSCH;;;;;;3;;;Foreign;03/26/2010
20100323X10126;Incident;CEN10IA169;03/22/2010;Galliano, LA;United States;29.412222;-90.294444;2LS0;Air Logistics Galliano;Incident;Minor;Helicopter;N921AL;SIKORSKY;S-92A;No;2;Turbo Shaft;Part 135: Air Taxi & Commuter;NSCH;;BRISTOW U.S. LLC;;;;14;VMC;CRUISE;Probable Cause;04/12/2011
20100317X00948;Incident;OPS10IA015B;03/19/2010;Phoenix, AZ;United States;;;PHX;Phoenix Sky Harbor;Incident;;Airplane;;BOEING;737-7H4;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;;;;;;VMC;;Probable Cause;05/19/2011
20100317X00948;Incident;OPS10IA015A;03/19/2010;Phoenix, AZ;United States;;;PHX;Phoenix Sky Harbor;Incident;;Airplane;;CESSNA;208B;No;1;Turbo Prop;Part 135: Air Taxi & Commuter;SCHD;;;;;;;VMC;LANDING;Probable Cause;05/19/2011
20100406X05757;Incident;DCA10WA047;03/18/2010;Nairobi, Kenya;Kenya;-1.319167;36.927500;;;Incident;Minor;;;;;;;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;10/28/2011
20100322X81354;Incident;DCA10WA041;03/18/2010;Paris, France;France;;;CDG;Roissy Charles de Gaulle;Incident;Minor;Airplane;;BOEING;747;No;4;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;03/22/2010
20100315X12046;Incident;CEN10IA157;03/12/2010;Chicago, IL;United States;41.830556;-87.726945;ORD;Chicago O'Hare IAP;Incident;Minor;Airplane;N16561;EMBRAER;EMB-145LR;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;EXPRESSJET AIRLINES INC;;;;45;VMC;APPROACH;Probable Cause;04/28/2011
20100310X51115;Incident;ERA10IA170;03/10/2010;Farmingdale, NY;United States;40.728889;-73.413333;FRG;Republic Airport;Incident;Minor;Airplane;N155MM;GULFSTREAM AMERICAN CORP.;G-1159A;No;2;Turbo Jet;Part 135: Air Taxi & Commuter;NSCH;;North Eastern Aviation Corporation;;;;5;VMC;CLIMB;Probable Cause;04/28/2011
20100319X00856;Incident;ENG10RA020;03/09/2010;Jorge Chavez Intl Airport, Peru;Peru;;;;Jorge Chavez International;Incident;Minor;Airplane;;BAE;146;No;4;;Unknown;;;;;;;;;;Foreign;10/04/2012
20111122X95137;Incident;DCA12WA015;03/01/2010;Brussels, Belgium;Belgium;;;;;Incident;Minor;Airplane;;BOEING;737;No;;;Non-U.S., Commercial;SCHD;;;;;;146;;;Foreign;12/18/2013
20100302X25146;Incident;CEN10RA135;03/01/2010;Stuttgart, Germany;Germany;;;;;Incident;Substantial;Airplane;;CESSNA;525;No;;Turbo Fan;Non-U.S., Non-Commercial;;Positioning;;;;;1;VMC;;Foreign;03/11/2010
20100708X20430;Incident;ENG10RA039;02/24/2010;Manston, UK, United Kingdom;United Kingdom;;;;;Incident;Minor;;;DE HAVILLAND;DHC6;;;;Unknown;NSCH;;;;;;;;;Foreign;08/30/2011
20100330X53518;Incident;DCA10WA043;02/21/2010;Bacelona, Spain;Spain;;;;;Incident;;Airplane;;BOEING;757 - 236;No;;;Non-U.S., Commercial;SCHD;;;;;;;;TAKEOFF;Foreign;
20100319X85607;Incident;DCA10WA040;02/21/2010;Torino, Italy;Italy;;;LIMF;Turin International Airport;Incident;;;;BOEING;727;No;3;;Non-U.S., Commercial;SCHD;;;;;;239;;;Foreign;03/22/2010
20100222X85652;Incident;ERA10IA147;02/20/2010;Nashville, TN;United States;36.121389;-86.673611;BNA;Nashville International;Incident;Minor;Airplane;N43368;PIPER;PA-46-310P;No;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;4;VMC;;Probable Cause;06/16/2010
20100909X73431;Incident;DCA10WA095;02/17/2010;Las Palmas, Spain;Spain;;;LGA;Gran Canaris;Incident;;Airplane;;BOEING;757;No;2;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;09/20/2010
20100216X34257;Incident;WPR10IA135;02/16/2010;Los Angeles, CA;United States;33.942222;-118.397500;LAX;Los Angeles International;Incident;Minor;Airplane;N226SW;EMBRAER;EMB-120ER;No;2;Turbo Prop;Part 121: Air Carrier;SCHD;;SKYWEST AIRLINES INC (DBA: United Express);;;;31;VMC;TAXI;Probable Cause;02/27/2013
20100305X52436;Incident;DCA10WA035;02/13/2010;SURABAYA, Indonesia;Indonesia;;;;Juanda Airport;Incident;Minor;Airplane;;BOEING;737;;2;;Non-U.S., Commercial;SCHD;;;;;;125;;;Foreign;12/18/2013
20100218X04623;Incident;ENG10WA015;02/10/2010;Milan, Italy, Italy;Italy;;;;;Incident;Minor;;;;;;;;Non-U.S., Commercial;NSCH;;;;;;;;;Foreign;07/06/2010
20100218X41332;Incident;DCA10WA030;02/10/2010;Amstedam, Netherlands;Netherlands;;;;;Incident;;;;;;;;;Non-U.S., Commercial;SCHD;;;;;;100;;;Foreign;02/23/2010
20100310X91532;Incident;ENG10WA019;02/09/2010;Cologne-Bonn Airport, Germany;Germany;;;MNB;Cologne-Bonn Airport;Incident;Minor;;;AIRBUS;A300;No;2;Turbo Fan;Part 129: Foreign;SCHD;;;;;;;;;Foreign;03/11/2010
20100315X23818;Incident;DCA10WA037;02/08/2010;Peshawar, Pakistan;Pakistan;;;;;Incident;Minor;Airplane;;BOEING;737;No;2;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;03/15/2010
20100224X92256;Incident;ERA10WA149;02/06/2010;Santiago, Ecuador;Ecuador;-2.471389;-78.169445;;Mashuim;Incident;Minor;Airplane;;PIPER;PA32;No;1;;Non-U.S., Non-Commercial;;Personal;;;;;1;VMC;;Foreign;03/09/2010
20100204X74536;Incident;ENG10RA014;02/03/2010;Bangkok, Thailand, Thailand;Thailand;;;BKK;Suvarnabhumi International;Incident;Minor;Airplane;;BOEING;747;No;4;Turbo Fan;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;02/18/2010
20110429X44811;Incident;ERA11WA269;01/28/2010;Guarau, Brazil;Brazil;-26.253611;-50.991111;;;Incident;;Airplane;;EMBRAER;EMB-202;No;1;Reciprocating;Non-U.S., Non-Commercial;;Unknown;;;;;1;;;Foreign;05/12/2011
20100507X93350;Incident;ENG10WA028;01/21/2010;London City Airport, United Kingdom;United Kingdom;;;;;Incident;;;;DASSAULT;Mystere Falcon;No;;;Unknown;NSCH;;;;;;2;;;Foreign;08/25/2010
20100129X00036;Incident;DCA10WA026;01/19/2010;Padang, Indonesia;Indonesia;;;;Minangkabau Airport;Incident;Substantial;Airplane;;BOEING;737;No;2;;Non-U.S., Commercial;SCHD;;;;;;209;;;Foreign;02/23/2010
20100121X82958;Incident;DCA10IA022;01/19/2010;Charleston, WV;United States;;;CRW;Yeager Airport;Incident;Minor;Airplane;N246PS;BOMBARDIER;CL600;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;PSA AIRLINES INC (DBA: USAirways Express);;;;34;VMC;TAKEOFF;Probable Cause;10/29/2010
20100120X85454;Incident;ENG10WA011;01/16/2010;Stockholm, Sweden;Sweden;;;ARN;Stockhom-Arlanda Airport;Incident;Minor;Airplane;;AIRBUS;A300-600R;No;2;Turbo Fan;Unknown;SCHD;;;;;;;;;Foreign;01/21/2010
20100114X11754;Incident;ENG10IA010;01/11/2010;St. Croix, VI;United States;;;STX;Henry E Rohlsen Airport;Incident;Minor;Airplane;N434AT;ATR;ATR72;No;2;Turbo Prop;Part 121: Air Carrier;SCHD;;American Airlines;;;;48;;TAKEOFF;Probable Cause;08/08/2013
20100112X10853;Incident;DCA10IA021;01/10/2010;Newark, NJ;United States;;;KEWR;Newark;Incident;Minor;Airplane;N816UA;AIRBUS INDUSTRIE;A319-131;No;2;Turbo Jet;Part 121: Air Carrier;SCHD;;UNITED AIR LINES INC;;;3;50;VMC;LANDING;Probable Cause;06/27/2011
20100219X11249;Incident;ENG10IA016;01/07/2010;Cincinnati (CVG), OH;United States;;;CVG;Cincinnati International Airpo;Incident;Minor;Airplane;N803DH;DOUGLAS;DC8;No;4;Turbo Fan;Part 121: Air Carrier;SCHD;;ASTAR AIR CARGO INC (DBA: DHL);;;;;;;Probable Cause;04/12/2011
20100107X40353;Incident;DCA10WA019;01/04/2010;Hahn, Germany;Germany;;;;Hahn, Germany;Incident;Minor;Airplane;;BOEING;737;No;2;;Non-U.S., Commercial;SCHD;;;;;5;148;;;Foreign;05/25/2010
20100127X11900;Incident;ENG10WA012;01/03/2010;Turin Airport, Italy;Italy;;;;;Incident;Minor;Airplane;;MCDONNELL DOUGLAS;MD-82;No;2;;Part 129: Foreign;SCHD;;;;;;;;;Foreign;08/25/2010
20100112X95305;Incident;DCA10WA020;01/03/2010;Dortmund, Germany;Germany;;;EDLW;Dortmund;Incident;;Airplane;;BOEING;737;No;;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;01/28/2010
20100714X13546;Incident;CEN10WA393;01/02/2010;Sept-Îles, Canada;Canada;;;YZV;Sept-Îles Airport;Incident;Minor;Airplane;;Hawker Beechcraft Corp.;200;No;2;Turbo Prop;Non-U.S., Commercial;NSCH;;;;;;6;;;Foreign;10/13/2010
20091230X24636;Incident;ENG10WA007;12/27/2009;Bogota, Colombia;Colombia;;;BOG;Bogota, Colombia;Incident;Minor;;;;;;;;Non-U.S., Commercial;SCHD;;;;;;2;;;Foreign;01/05/2010
20091228X15816;Incident;CEN10IA084;12/25/2009;Dallas, TX;United States;32.891389;-97.036111;KDFW;Dallas/Fort Worth Internationa;Incident;Minor;Airplane;N494AE;ATR;ATR72;No;2;Turbo Prop;Part 121: Air Carrier;SCHD;;EXECUTIVE AIRLINES INC (DBA: AMERICAN EAGLE);;;;45;VMC;DESCENT;Probable Cause;03/28/2012
20100224X04957;Incident;ENG10RA017;12/21/2009;London, United Kingdom;United Kingdom;;;LGW;London Gatwick;Incident;Minor;Airplane;;BOMBARDIER;DHC-8;No;2;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;07/06/2010
20100106X21356;Incident;ENG10WA009;12/17/2009;Changi Airport, Singapore;Singapore;;;;;Incident;Minor;Airplane;;BOEING;747;No;4;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;03/11/2010
20091214X41802;Incident;DCA10IA015;12/13/2009;Charlotte, NC;United States;35.363889;-80.943055;CLT;Charlotte Douglas Intl;Incident;Minor;Airplane;N483A;BOEING;MD;No;2;;Part 121: Air Carrier;SCHD;;American Airlines;;;;115;IMC;LANDING;Probable Cause;06/27/2011
20091211X04629;Incident;ERA10IA095;12/10/2009;Lexington, KY;United States;38.036389;-84.605833;LEX;Blue Grass Airport;Incident;Minor;Airplane;N391MC;BEECH;58;No;2;Reciprocating;Part 91: General Aviation;;Personal;;;;;2;VMC;GO-AROUND;Probable Cause;05/26/2010
20091216X40340;Incident;OPS10IA003;12/04/2009;Detroit, MI;United States;;;DTW;Detroit Wayne County;Incident;;;;;;;;;Part 121: Air Carrier;SCHD;;;;;;52;VMC;TAKEOFF;Probable Cause;06/04/2010
20091210X11359;Incident;ERA10IA094;12/03/2009;Rome, NY;United States;43.233889;-75.406944;;;Incident;;Airplane;N701FX;CESSNA;208B;No;1;Turbo Prop;Part 135: Air Taxi & Commuter;NSCH;;Wiggins Airways, Inc.;;;;1;VMC;CLIMB;Probable Cause;08/03/2011
20091215X50249;Incident;DCA10WA016;11/28/2009;near Curitiba, Brazil;Brazil;;;;;Incident;;;;;;;;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;12/15/2009
20091117X55556;Incident;CEN10IA053;11/14/2009;Kansas City, MO;United States;39.297777;-94.713889;MCI;Kansas City International;Incident;Minor;Airplane;N924FR;AIRBUS;A319-111;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;Frontier Airlines;;;;130;VMC;CLIMB;Probable Cause;03/23/2010
20091130X33321;Incident;CEN10IA059;11/13/2009;Elk Mound, WI;United States;;;;;Incident;Minor;Airplane;N667PC;PIPER;PA-46-310P;No;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;1;VMC;DESCENT;Probable Cause;05/05/2011
20100323X43509;Incident;CEN10IA173;11/06/2009;Xenia, OH;United States;39.690833;-83.991944;I19;Greene County-Lewis A. Jackson;Incident;Minor;Airplane;N93415;Univar;415-C/D;No;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;2;VMC;APPROACH;Probable Cause;09/26/2011
20091209X92412;Incident;OPS10IA002;11/05/2009;Cortez, CO;United States;;;;N/A;Incident;;Powered-Lift;;AIRBUS;A320;No;2;;Part 129: Foreign;SCHD;;;;;;;;CRUISE;Probable Cause;03/03/2010
20091104X23538;Incident;WPR10IA045;11/04/2009;Show Low, AZ;United States;34.255833;-110.003333;SOW;Show Low Regional Airport;Incident;Minor;Airplane;N330AV;BEECH;C-99;No;2;Turbo Prop;Part 135: Air Taxi & Commuter;NSCH;;Ameriflight, LLC;;;1;;VMC;DESCENT;Probable Cause;06/27/2011
20091105X93509;Incident;DCA10IA006;11/04/2009;Dulles International Airport, VA;United States;38.947500;-77.460000;IAD;Dulles International Airport;Incident;Minor;Airplane;G-BNWY;BOEING;767;No;2;;Non-U.S., Commercial;SCHD;;British Airways PLC (DBA: Brithish Airways);;;;;VMC;TAXI;Probable Cause;09/27/2010
20091123X21949;Incident;ENG10WA005;10/30/2009;Jakarta, Indonesia;Indonesia;;;WIII;Soekarno-Hatta Airport;Incident;Minor;;;BOEING;737;No;;;Unknown;SCHD;;;;;;56;;;Foreign;12/01/2009
20091105X30611;Incident;DCA10WA007;10/28/2009;Brisbane, Australia;Australia;;;;;Incident;;;;AIRBUS;A330;;2;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;11/23/2009
20091027X41534;Incident;CEN10IA030;10/24/2009;Lincoln, NE;United States;40.850833;-96.759167;LNK;Lincoln Municipal Airport;Incident;Minor;Airplane;N4420K;CURTISS WRIGHT;P-40E;No;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;1;VMC;LANDING;Probable Cause;03/12/2012
20091028X65411;Incident;DCA10WA005;10/22/2009;Budapest, Hungary;Hungary;;;LHSM;Budapest International Airport;Incident;;;;BOEING;737;No;2;;Non-U.S., Commercial;SCHD;;;;;;6;;;Foreign;03/22/2010
20091022X00120;Incident;DCA10IA001;10/21/2009;Minneapolis, MN;United States;;;MSP;Minneapolis-St Paul Internatio;Incident;;Airplane;N374NW;AIRBUS;A320;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;NORTHWEST AIRLINES INC;;;;152;;CRUISE;Probable Cause;03/18/2010
20091020X05636;Incident;OPS10IA001;10/19/2009;Atlanta Hartsfield Intl. Apt. (KATL), GA;United States;;;KATL;Atlanta Hartsfield Internation;Incident;;Airplane;;BOEING;767;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;;;;;194;VMC;LANDING;Probable Cause;11/15/2010
20091123X11730;Incident;ENG10WA004;10/19/2009;Melbourne Airport, Australia;Australia;;;MEL;Melbourne Airport;Incident;Minor;Airplane;;BOEING;737;No;2;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;12/01/2009
20091028X64340;Incident;DCA10WA003;10/19/2009;Manchester, United Kingdom;United Kingdom;;;RGCC;Manchester Airport;Incident;;Airplane;;BOEING;737;No;;;Non-U.S., Commercial;SCHD;;;;;;102;;;Foreign;03/22/2010
20100225X04005;Incident;ENG10WA018;10/04/2009;Wagga Wagga, New South Wales, Australia;Australia;;;YSWG;Wagga-wagga;Incident;;Airplane;;SAAB;340;No;2;Turbo Prop;Part 129: Foreign;SCHD;;;;;;37;;;Foreign;06/15/2010
20091005X53525;Incident;ENG09RA019;10/02/2009;Kuching, Malaysia;Malaysia;;;WBGG;Kuching International Airport;Incident;Minor;Airplane;;BOEING;737;No;2;Turbo Fan;Unknown;SCHD;;;;;;149;;;Foreign;06/24/2010
20091028X00540;Incident;ENG10WA002;09/29/2009;Birgi, Trapani, Sicily, Italy, Italy;Italy;;;LICT;Trapani Birgi;Incident;Minor;Airplane;;BOEING;737;No;2;;Non-U.S., Commercial;SCHD;;;;;;171;;;Foreign;06/01/2010
20100216X24437;Incident;DCA10WA027;09/26/2009;St. Kitts, St Kitts And Nevis;St Kitts And Nevis;;;;St. Kitts;Incident;;Airplane;;BOEING;777;;;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;02/23/2010
20091028X63731;Incident;DCA10WA002;09/24/2009;Bologna, Italy;Italy;;;LIPE;Bologna Airport;Incident;;;;BOEING;737;No;2;;Non-U.S., Commercial;NSCH;;;;;;2;;;Foreign;03/22/2010
20090921X85526;Incident;CEN09IA595;09/20/2009;Nacogdoches, TX;United States;31.586666;-94.611111;;;Incident;Minor;Airplane;N97500;BEECH;V35;No;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;1;VMC;CRUISE;Probable Cause;03/03/2010
20091019X30130;Incident;ENG09WA022;09/17/2009;Copenhagen, Denmark, Denmark;Denmark;;;CPH;Copenhagen;Incident;;Airplane;;AIRBUS;A319;No;2;Turbo Fan;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;10/20/2009
20090921X73211;Incident;ENG09IA018;09/17/2009;Newark, NJ;United States;;;EWR;Newark Liberty Airport;Incident;Minor;Airplane;N66051;BOEING;767;No;2;;Part 121: Air Carrier;SCHD;;Continental Airlines;;;;235;VMC;STANDING;Probable Cause;06/20/2011
20090909X82446;Incident;ENG09IA014;09/08/2009;Los Angeles, CA;United States;33.942500;-118.407222;KLAX;Los Angeles International;Incident;Minor;Airplane;N670SW;BOEING;737;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;Southwest Airlines, Co.;;;;142;VMC;LANDING;Probable Cause;01/07/2011
20090910X95942;Incident;ENG09IA016;09/07/2009;St. Johns, Canada;Canada;47.500000;-52.600000;;N/A;Incident;Minor;Airplane;N840MH;BOEING;767 432ER;No;;;Part 121: Air Carrier;SCHD;;DELTA AIR LINES INC;;;;;UNK;;Probable Cause;11/13/2014
20090911X64138;Incident;CEN09IA578;09/04/2009;Sugar Land, TX;United States;29.620000;-95.653889;SGR;Sugar Land Regional Airport;Incident;Minor;Airplane;N2349S;CESSNA;421;No;2;Reciprocating;Part 91: General Aviation;;Business;;;;;1;VMC;OTHER;Probable Cause;10/03/2011
20090910X53412;Incident;ENG09IA017;09/03/2009;Nassau, Bahamas;Bahamas;;;MYNN;Lynden Pindling International;Incident;Minor;Airplane;N258JB;EMBRAER;ERJ 190-100 IGW;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;JetBlue Airways;;;6;;;LANDING;Probable Cause;12/07/2012
20090826X11036;Incident;ENG09WA012;08/21/2009;Launceton, Tasmania, Australia;Australia;;;;;Incident;;Airplane;;BOEING;737;;2;Turbo Fan;Non-U.S., Commercial;SCHD;;;;;;2;;;Foreign;08/26/2009
20091216X03724;Incident;ENG10WA006;08/19/2009;Coca, Ecuador, Ecuador;Ecuador;;;OCC;Coca - Aeropuerto Francisco de;Incident;Minor;Airplane;;BOEING;737-236;No;;Turbo Fan;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;06/02/2010
20091006X13006;Incident;ENG09WA020;08/06/2009;;Austria;;;;;Incident;Minor;;;;;;;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;10/08/2009
20090910X94141;Incident;ENG09WA015;08/05/2009;Paris ORLY, France;France;;;LFPO;Paris Orly;Incident;Minor;Airplane;;AIRBUS;A320;No;2;Turbo Fan;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;10/20/2009
20090810X21314;Incident;DCA09IA071;08/03/2009;Bavaro, Dominican Republic;Dominican Republic;19.736944;-68.554167;;;Incident;;Airplane;N76156;BOEING;767-224;No;2;Turbo Jet;Part 121: Air Carrier;SCHD;;CONTINENTAL AIRLINES INC;;;33;146;VMC;CRUISE;Probable Cause;12/27/2011
20090820X30146;Incident;DCA09WA074;08/02/2009;Barcelona, Spain;Spain;;;LEBL;Barcelona, Spain;Incident;;Airplane;;BOEING;757;No;2;;Non-U.S., Commercial;SCHD;;;;;;;;;Foreign;08/20/2009
20090731X35715;Incident;CEN09IA481;07/31/2009;Sugar Land, TX;United States;29.622223;-95.656389;SGR;Sugar Land Municipal AIrport;Incident;Minor;Airplane;N679SJ;RAYTHEON AIRCRAFT COMPANY;BE-400A;No;2;Turbo Fan;Part 91: General Aviation;;Personal;;;;;8;VMC;TAKEOFF;Probable Cause;03/24/2011
20090925X65328;Incident;CEN09IA606;07/30/2009;Traverse City, MI;United States;44.741666;-85.582500;;;Incident;;Airplane;N452XJ;SAAB;340B;No;2;Turbo Prop;Part 121: Air Carrier;SCHD;;Mesaba Aviation, Inc. (DBA: Northwest Airlink);;;;33;VMC;CRUISE;Probable Cause;08/12/2010
20090803X00631;Incident;ENG09WA010;07/24/2009;Melbourne, Australia;Australia;;;MEL;Melbourne Airport;Incident;Minor;Airplane;;BOEING;;No;2;;Unknown;;;;;;;;;;Foreign;08/13/2009
20090721X62037;Incident;DCA09WA066;07/20/2009;Keflavik, Iceland;Iceland;;;BIKF;Keflavik;Incident;Minor;Airplane;N658UA;BOEING;767;;2;;Part 121: Air Carrier;SCHD;;;;;;2;VMC;;Foreign;02/23/2010
20090722X62123;Incident;CEN09IA456;07/19/2009;West Chicago, IL;United States;;;DPA;Dupage Airport;Incident;;Airplane;N77AF;CESSNA;172R;No;1;Reciprocating;Part 91: General Aviation;;Instructional;;;;;2;VMC;APPROACH;Probable Cause;10/20/2009
20091105X31734;Incident;DCA10WA009;07/17/2009;Stansted, United Kingdom;United Kingdom;;;;;Incident;;;;BOEING;737;;;;Non-U.S., Commercial;SCHD;;;;1;;2;;;Foreign;11/23/2009
20090730X12915;Incident;ENG09IA009;07/15/2009;Charlotte (CLT), NC;United States;;;CLT;Douglas International;Incident;Minor;Airplane;N506AU;BOEING;737-3B7;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;US AIRWAYS INC (DBA: US Airways);;;;;;OTHER;Probable Cause;04/12/2011
20090715X04914;Incident;CEN09RA443;07/13/2009;Kerry, Ireland;Ireland;52.077778;-9.520278;EIKY;Kerry Airport;Incident;;Airplane;;GULFSTREAM;GIV;No;2;;Unknown;;;;;;;3;;;Foreign;11/03/2009
20090707X25638;Incident;CEN09IA416;07/06/2009;Midland, TX;United States;32.036389;-102.100833;KMDD;Midland Airpark;Incident;Minor;Airplane;N201FD;MOONEY;M20J;No;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;1;VMC;LANDING;Probable Cause;03/06/2012
20090714X71423;Incident;CEN09IA438;07/03/2009;Put-In-Bay, OH;United States;;;3W2;Put In Bay Airport;Incident;Minor;Airplane;N708RW;Cirrus Design Corporation;SR22;No;1;Reciprocating;Part 91: General Aviation;;Personal;;;;;2;VMC;LANDING;Probable Cause;03/03/2010
20110111X90812;Incident;CEN09IA618;07/01/2009;Peoria, IL;United States;40.664167;-89.693055;PIA;General Downing - Peoria IAP;Incident;;Helicopter;N880SF;BELL;230;No;2;Turbo Shaft;Part 135: Air Taxi & Commuter;NSCH;;OSF AVIATION LLC;;;;4;VMC;CRUISE;Probable Cause;04/30/2013
20090806X31035;Incident;OPS09IA009B;06/26/2009;Cleveland, OH;United States;;;CLE;Cleveland/Hopkins Int'l Airpor;Incident;;Airplane;;EMBRAER;EMB-145XR;No;2;Turbo Fan;Part 121: Air Carrier;SCHD;;;;;;66;VMC;;Probable Cause;05/06/2010
20090806X31035;Incident;OPS09IA009A;06/26/2009;Cleveland, OH;United States;;;CLE;Cleveland/Hopkins Int'l Airpor;Incident;;Airplane;;BOMBARDIER INC;DHC-8-202;No;2;Turbo Prop;Part 121: Air Carrier;SCHD;;;;;;66;VMC;TAKEOFF;Probable Cause;05/06/2010
20090706X72654;Incident;DCA09IA064;06/23/2009;Kagoshima, Japan;Japan;;;;Kagoshima;Incident;;Airplane;N805NW;AIRBUS;A330-323;No;2;Turbo Fan;Non-U.S., Commercial;SCHD;;NORTHWEST AIRLINES INC;;;;217;IMC;;Probable Cause;06/27/2011
20090629X84637;Incident;DCA09WA062;06/19/2009;North Bay, Canada;Canada;46.363611;-79.422778;;;Incident;;Airplane;;BOEING;767;No;2;;Non-U.S., Commercial;SCHD;;;;;;216;;;Foreign;
20090619X84742;Incident;OPS09IA008;06/18/2009;Boston, MA;United States;42.357778;-71.006389;;;Incident;;;;AIRBUS;A320;No;;Turbo Fan;Part 121: Air Carrier;SCHD;;;;;;89;;TAKEOFF;Probable Cause;01/07/2011
20090818X32949;Incident;WPR09RA402;06/15/2009;Keflavík, Iceland;Iceland;;;KEF;Keflavík International Airport;Incident;Minor;Airplane;;BOEING;757;No;2;;Part 129: Foreign;SCHD;;;;;;;;;Foreign;08/24/2009
20090826X84257;Incident;ENG09IA011;06/14/2009;Diyarbakir, Turkey;Turkey;;;LTCC;Diyarbakir Airport;Incident;;Airplane;TC-TLA;BOEING;737;No;2;Turbo Fan;Non-U.S., Commercial;SCHD;;Tailwinds Airlines;;;2;;VMC;LANDING;Probable Cause;09/27/2010
